State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Odisha,Bhubaneswar,Caste Discrimination,Elder Help NGO - Bhubaneswar 98,Elder Help NGO,+91-8762515770,Caste Discrimination Bhubaneswar Odisha
Maharashtra,Nagpur,Dowry,Elder Help NGO - Nagpur 85,Elder Help NGO,+91-7966814624,Dowry Nagpur Maharashtra
Assam,Dibrugarh,Caste Discrimination,Legal Aid NGO - Dibrugarh 40,Legal Aid NGO,+91-7387852138,Caste Discrimination Dibrugarh Assam
Assam,Silchar,Cyber Crime,Women's Helpline - Silchar 69,Women's Helpline,+91-7176952544,Cyber Crime Silchar Assam
Tamil Nadu,Chennai,Child Abuse,Legal Clinic - Chennai 54,Legal Clinic,+91-9685146885,Child Abuse Chennai Tamil Nadu
West Bengal,Kolkata,Cyber Crime,Legal Aid NGO - Kolkata 45,Legal Aid NGO,+91-7392968010,Cyber Crime Kolkata West Bengal
Tamil Nadu,Chennai,Cyber Crime,Women's Helpline - Chennai 17,Women's Helpline,+91-7001009691,Cyber Crime Chennai Tamil Nadu
Madhya Pradesh,Bhopal,Domestic Violence,Legal Aid NGO - Bhopal 75,Legal Aid NGO,+91-9304686494,Domestic Violence Bhopal Madhya Pradesh
Tamil Nadu,Coimbatore,Child Abuse,Cyber Helpline - Coimbatore 47,Cyber Helpline,+91-8255689773,Child Abuse Coimbatore Tamil Nadu
Assam,Dibrugarh,Sexual Harassment,Women's Helpline - Dibrugarh 16,Women's Helpline,+91-9629063007,Sexual Harassment Dibrugarh Assam
Karnataka,Mangalore,Property Dispute,Legal Clinic - Mangalore 74,Legal Clinic,+91-9389433861,Property Dispute Mangalore Karnataka
Telangana,Warangal,Property Dispute,Childline - Warangal 82,Childline,+91-9750245798,Property Dispute Warangal Telangana
Assam,Dibrugarh,Property Dispute,Women's Helpline - Dibrugarh 95,Women's Helpline,+91-7831144781,Property Dispute Dibrugarh Assam
Rajasthan,Jodhpur,Caste Discrimination,District Legal Services Authority - Jodhpur 27,District Legal Services Authority,+91-8823687726,Caste Discrimination Jodhpur Rajasthan
Madhya Pradesh,Jabalpur,Cyber Crime,Childline - Jabalpur 87,Childline,+91-7707546461,Cyber Crime Jabalpur Madhya Pradesh
Punjab,Ludhiana,Sexual Harassment,Elder Help NGO - Ludhiana 83,Elder Help NGO,+91-7178455001,Sexual Harassment Ludhiana Punjab
West Bengal,Kolkata,Dowry,Legal Aid NGO - Kolkata 43,Legal Aid NGO,+91-9259955490,Dowry Kolkata West Bengal
Telangana,Nizamabad,Dowry,District Legal Services Authority - Nizamabad 64,District Legal Services Authority,+91-9352969876,Dowry Nizamabad Telangana
Karnataka,Bengaluru,Child Abuse,District Legal Services Authority - Bengaluru 61,District Legal Services Authority,+91-9112397163,Child Abuse Bengaluru Karnataka
Jammu & Kashmir,Srinagar,Senior Citizen Abuse,Childline - Srinagar 77,Childline,+91-9781168270,Senior Citizen Abuse Srinagar Jammu & Kashmir
Uttar Pradesh,Lucknow,Cyber Crime,Cyber Helpline - Lucknow 26,Cyber Helpline,+91-8797357512,Cyber Crime Lucknow Uttar Pradesh
Bihar,Bhagalpur,Domestic Violence,Cyber Helpline - Bhagalpur 63,Cyber Helpline,+91-8913718159,Domestic Violence Bhagalpur Bihar
Odisha,Bhubaneswar,Sexual Harassment,Elder Help NGO - Bhubaneswar 20,Elder Help NGO,+91-9634886118,Sexual Harassment Bhubaneswar Odisha
Haryana,Faridabad,Senior Citizen Abuse,District Legal Services Authority - Faridabad 51,District Legal Services Authority,+91-7878128615,Senior Citizen Abuse Faridabad Haryana
Jammu & Kashmir,Srinagar,Property Dispute,Legal Clinic - Srinagar 14,Legal Clinic,+91-7206347132,Property Dispute Srinagar Jammu & Kashmir
Punjab,Chandigarh,Senior Citizen Abuse,Women's Helpline - Chandigarh 28,Women's Helpline,+91-7841067380,Senior Citizen Abuse Chandigarh Punjab
Chhattisgarh,Bilaspur,Dowry,Legal Aid NGO - Bilaspur 88,Legal Aid NGO,+91-7498524761,Dowry Bilaspur Chhattisgarh
Chhattisgarh,Durg,Property Dispute,Elder Help NGO - Durg 69,Elder Help NGO,+91-8666023486,Property Dispute Durg Chhattisgarh
Tamil Nadu,Coimbatore,Child Abuse,Cyber Helpline - Coimbatore 56,Cyber Helpline,+91-8339907583,Child Abuse Coimbatore Tamil Nadu
Jharkhand,Dhanbad,Caste Discrimination,Legal Aid NGO - Dhanbad 75,Legal Aid NGO,+91-9422629059,Caste Discrimination Dhanbad Jharkhand
Chhattisgarh,Raipur,Domestic Violence,Legal Clinic - Raipur 1,Legal Clinic,+91-7990992178,Domestic Violence Raipur Chhattisgarh
Bihar,Patna,Cyber Crime,Women's Helpline - Patna 9,Women's Helpline,+91-9732489702,Cyber Crime Patna Bihar
Rajasthan,Jaipur,Cyber Crime,District Legal Services Authority - Jaipur 53,District Legal Services Authority,+91-9644656384,Cyber Crime Jaipur Rajasthan
Uttar Pradesh,Lucknow,Cyber Crime,Cyber Helpline - Lucknow 12,Cyber Helpline,+91-7953595008,Cyber Crime Lucknow Uttar Pradesh
Karnataka,Mangalore,Sexual Harassment,Elder Help NGO - Mangalore 74,Elder Help NGO,+91-8087384048,Sexual Harassment Mangalore Karnataka
Rajasthan,Jaipur,Sexual Harassment,District Legal Services Authority - Jaipur 25,District Legal Services Authority,+91-7159809799,Sexual Harassment Jaipur Rajasthan
West Bengal,Kolkata,Domestic Violence,Legal Clinic - Kolkata 39,Legal Clinic,+91-7356785291,Domestic Violence Kolkata West Bengal
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Legal Clinic - Visakhapatnam 71,Legal Clinic,+91-9333508021,Sexual Harassment Visakhapatnam Andhra Pradesh
West Bengal,Howrah,Domestic Violence,Legal Aid NGO - Howrah 77,Legal Aid NGO,+91-9466650170,Domestic Violence Howrah West Bengal
Karnataka,Mangalore,Property Dispute,Legal Clinic - Mangalore 28,Legal Clinic,+91-7051345810,Property Dispute Mangalore Karnataka
Jharkhand,Jamshedpur,Cyber Crime,Cyber Helpline - Jamshedpur 22,Cyber Helpline,+91-8264312177,Cyber Crime Jamshedpur Jharkhand
Assam,Dibrugarh,Child Abuse,Women's Helpline - Dibrugarh 28,Women's Helpline,+91-8608144986,Child Abuse Dibrugarh Assam
Andhra Pradesh,Vijayawada,Senior Citizen Abuse,Legal Clinic - Vijayawada 43,Legal Clinic,+91-7212257679,Senior Citizen Abuse Vijayawada Andhra Pradesh
Rajasthan,Jaipur,Dowry,Elder Help NGO - Jaipur 54,Elder Help NGO,+91-7228137839,Dowry Jaipur Rajasthan
Tamil Nadu,Coimbatore,Domestic Violence,Legal Aid NGO - Coimbatore 22,Legal Aid NGO,+91-9938948588,Domestic Violence Coimbatore Tamil Nadu
Rajasthan,Jaipur,Cyber Crime,Women's Helpline - Jaipur 74,Women's Helpline,+91-9602079632,Cyber Crime Jaipur Rajasthan
Gujarat,Vadodara,Child Abuse,Women's Helpline - Vadodara 19,Women's Helpline,+91-7568693986,Child Abuse Vadodara Gujarat
Kerala,Thiruvananthapuram,Property Dispute,Women's Helpline - Thiruvananthapuram 89,Women's Helpline,+91-7988298180,Property Dispute Thiruvananthapuram Kerala
Andhra Pradesh,Vijayawada,Dowry,Women's Helpline - Vijayawada 91,Women's Helpline,+91-9624919940,Dowry Vijayawada Andhra Pradesh
Jammu & Kashmir,Jammu,Senior Citizen Abuse,Legal Clinic - Jammu 87,Legal Clinic,+91-7456248568,Senior Citizen Abuse Jammu Jammu & Kashmir
Uttar Pradesh,Lucknow,Child Abuse,Childline - Lucknow 57,Childline,+91-7451738886,Child Abuse Lucknow Uttar Pradesh
Kerala,Kozhikode,Caste Discrimination,Cyber Helpline - Kozhikode 16,Cyber Helpline,+91-9057276929,Caste Discrimination Kozhikode Kerala
Rajasthan,Jaipur,Child Abuse,District Legal Services Authority - Jaipur 69,District Legal Services Authority,+91-8759140010,Child Abuse Jaipur Rajasthan
Telangana,Nizamabad,Dowry,Cyber Helpline - Nizamabad 31,Cyber Helpline,+91-7629250102,Dowry Nizamabad Telangana
Punjab,Chandigarh,Senior Citizen Abuse,Legal Clinic - Chandigarh 5,Legal Clinic,+91-7245613990,Senior Citizen Abuse Chandigarh Punjab
Punjab,Amritsar,Domestic Violence,Elder Help NGO - Amritsar 89,Elder Help NGO,+91-8331726025,Domestic Violence Amritsar Punjab
Punjab,Chandigarh,Senior Citizen Abuse,Women's Helpline - Chandigarh 71,Women's Helpline,+91-9283888166,Senior Citizen Abuse Chandigarh Punjab
Assam,Guwahati,Caste Discrimination,Cyber Helpline - Guwahati 97,Cyber Helpline,+91-8825456742,Caste Discrimination Guwahati Assam
Uttar Pradesh,Kanpur,Property Dispute,Elder Help NGO - Kanpur 48,Elder Help NGO,+91-8867657136,Property Dispute Kanpur Uttar Pradesh
Delhi,New Delhi,Senior Citizen Abuse,Women's Helpline - New Delhi 67,Women's Helpline,+91-9176471313,Senior Citizen Abuse New Delhi Delhi
Chhattisgarh,Raipur,Senior Citizen Abuse,Elder Help NGO - Raipur 96,Elder Help NGO,+91-8639078582,Senior Citizen Abuse Raipur Chhattisgarh
Kerala,Kochi,Child Abuse,District Legal Services Authority - Kochi 93,District Legal Services Authority,+91-7774003128,Child Abuse Kochi Kerala
Uttar Pradesh,Kanpur,Caste Discrimination,Cyber Helpline - Kanpur 77,Cyber Helpline,+91-7069464603,Caste Discrimination Kanpur Uttar Pradesh
Uttar Pradesh,Kanpur,Caste Discrimination,Legal Clinic - Kanpur 21,Legal Clinic,+91-7051785726,Caste Discrimination Kanpur Uttar Pradesh
Assam,Dibrugarh,Caste Discrimination,Childline - Dibrugarh 72,Childline,+91-9050550593,Caste Discrimination Dibrugarh Assam
Uttar Pradesh,Kanpur,Cyber Crime,Elder Help NGO - Kanpur 46,Elder Help NGO,+91-8333273832,Cyber Crime Kanpur Uttar Pradesh
Jharkhand,Dhanbad,Property Dispute,Cyber Helpline - Dhanbad 56,Cyber Helpline,+91-7420426541,Property Dispute Dhanbad Jharkhand
Kerala,Kozhikode,Caste Discrimination,District Legal Services Authority - Kozhikode 60,District Legal Services Authority,+91-7317303388,Caste Discrimination Kozhikode Kerala
Telangana,Hyderabad,Dowry,Cyber Helpline - Hyderabad 79,Cyber Helpline,+91-8785030070,Dowry Hyderabad Telangana
Maharashtra,Pune,Cyber Crime,Elder Help NGO - Pune 24,Elder Help NGO,+91-9425973033,Cyber Crime Pune Maharashtra
West Bengal,Kolkata,Cyber Crime,Legal Clinic - Kolkata 61,Legal Clinic,+91-9259308778,Cyber Crime Kolkata West Bengal
Karnataka,Mysore,Domestic Violence,Cyber Helpline - Mysore 58,Cyber Helpline,+91-8918673588,Domestic Violence Mysore Karnataka
Kerala,Thiruvananthapuram,Dowry,Legal Aid NGO - Thiruvananthapuram 57,Legal Aid NGO,+91-9301560100,Dowry Thiruvananthapuram Kerala
Uttar Pradesh,Kanpur,Child Abuse,District Legal Services Authority - Kanpur 33,District Legal Services Authority,+91-9604866258,Child Abuse Kanpur Uttar Pradesh
Madhya Pradesh,Jabalpur,Sexual Harassment,Cyber Helpline - Jabalpur 77,Cyber Helpline,+91-7724899285,Sexual Harassment Jabalpur Madhya Pradesh
Bihar,Bhagalpur,Senior Citizen Abuse,Legal Aid NGO - Bhagalpur 64,Legal Aid NGO,+91-9235201318,Senior Citizen Abuse Bhagalpur Bihar
West Bengal,Kolkata,Senior Citizen Abuse,Legal Clinic - Kolkata 66,Legal Clinic,+91-7152877033,Senior Citizen Abuse Kolkata West Bengal
West Bengal,Siliguri,Property Dispute,Legal Clinic - Siliguri 36,Legal Clinic,+91-9257235307,Property Dispute Siliguri West Bengal
Jammu & Kashmir,Srinagar,Property Dispute,Legal Aid NGO - Srinagar 29,Legal Aid NGO,+91-7068378951,Property Dispute Srinagar Jammu & Kashmir
Kerala,Thiruvananthapuram,Property Dispute,Elder Help NGO - Thiruvananthapuram 5,Elder Help NGO,+91-7224613506,Property Dispute Thiruvananthapuram Kerala
Andhra Pradesh,Vijayawada,Domestic Violence,Cyber Helpline - Vijayawada 9,Cyber Helpline,+91-7927997748,Domestic Violence Vijayawada Andhra Pradesh
Telangana,Hyderabad,Senior Citizen Abuse,Elder Help NGO - Hyderabad 15,Elder Help NGO,+91-8240310896,Senior Citizen Abuse Hyderabad Telangana
Telangana,Warangal,Domestic Violence,Childline - Warangal 96,Childline,+91-9996196473,Domestic Violence Warangal Telangana
Kerala,Kochi,Dowry,Childline - Kochi 77,Childline,+91-9770539216,Dowry Kochi Kerala
Gujarat,Surat,Cyber Crime,Legal Clinic - Surat 90,Legal Clinic,+91-7346750306,Cyber Crime Surat Gujarat
Delhi,New Delhi,Property Dispute,Childline - New Delhi 11,Childline,+91-8052068978,Property Dispute New Delhi Delhi
West Bengal,Siliguri,Domestic Violence,Childline - Siliguri 26,Childline,+91-7005949070,Domestic Violence Siliguri West Bengal
Kerala,Kochi,Dowry,Legal Aid NGO - Kochi 82,Legal Aid NGO,+91-7138648767,Dowry Kochi Kerala
Tamil Nadu,Madurai,Dowry,District Legal Services Authority - Madurai 20,District Legal Services Authority,+91-9174918894,Dowry Madurai Tamil Nadu
Karnataka,Bengaluru,Cyber Crime,Elder Help NGO - Bengaluru 12,Elder Help NGO,+91-7843408456,Cyber Crime Bengaluru Karnataka
Delhi,New Delhi,Dowry,District Legal Services Authority - New Delhi 86,District Legal Services Authority,+91-7492726145,Dowry New Delhi Delhi
Gujarat,Ahmedabad,Cyber Crime,Elder Help NGO - Ahmedabad 85,Elder Help NGO,+91-9990532516,Cyber Crime Ahmedabad Gujarat
Jharkhand,Ranchi,Cyber Crime,Women's Helpline - Ranchi 9,Women's Helpline,+91-9699270290,Cyber Crime Ranchi Jharkhand
Assam,Guwahati,Domestic Violence,Elder Help NGO - Guwahati 24,Elder Help NGO,+91-9187110361,Domestic Violence Guwahati Assam
Assam,Silchar,Caste Discrimination,Childline - Silchar 73,Childline,+91-8659671625,Caste Discrimination Silchar Assam
West Bengal,Howrah,Domestic Violence,Legal Aid NGO - Howrah 51,Legal Aid NGO,+91-7734915199,Domestic Violence Howrah West Bengal
Rajasthan,Udaipur,Senior Citizen Abuse,Childline - Udaipur 51,Childline,+91-9762151009,Senior Citizen Abuse Udaipur Rajasthan
Tamil Nadu,Madurai,Child Abuse,Elder Help NGO - Madurai 47,Elder Help NGO,+91-9581387149,Child Abuse Madurai Tamil Nadu
Haryana,Faridabad,Caste Discrimination,Childline - Faridabad 46,Childline,+91-9233478616,Caste Discrimination Faridabad Haryana
Andhra Pradesh,Guntur,Sexual Harassment,Cyber Helpline - Guntur 10,Cyber Helpline,+91-9755136286,Sexual Harassment Guntur Andhra Pradesh
Madhya Pradesh,Jabalpur,Sexual Harassment,Childline - Jabalpur 20,Childline,+91-9114525651,Sexual Harassment Jabalpur Madhya Pradesh
Haryana,Panipat,Caste Discrimination,District Legal Services Authority - Panipat 24,District Legal Services Authority,+91-8578923677,Caste Discrimination Panipat Haryana
Assam,Guwahati,Child Abuse,Legal Aid NGO - Guwahati 19,Legal Aid NGO,+91-9746494316,Child Abuse Guwahati Assam
Jharkhand,Ranchi,Cyber Crime,Legal Aid NGO - Ranchi 54,Legal Aid NGO,+91-7761941581,Cyber Crime Ranchi Jharkhand
Telangana,Warangal,Domestic Violence,Cyber Helpline - Warangal 29,Cyber Helpline,+91-7101699738,Domestic Violence Warangal Telangana
Uttar Pradesh,Varanasi,Child Abuse,Legal Aid NGO - Varanasi 22,Legal Aid NGO,+91-9079886019,Child Abuse Varanasi Uttar Pradesh
Jharkhand,Dhanbad,Dowry,Legal Clinic - Dhanbad 41,Legal Clinic,+91-9386114611,Dowry Dhanbad Jharkhand
Kerala,Thiruvananthapuram,Sexual Harassment,Childline - Thiruvananthapuram 28,Childline,+91-9831173707,Sexual Harassment Thiruvananthapuram Kerala
Assam,Silchar,Cyber Crime,Elder Help NGO - Silchar 15,Elder Help NGO,+91-9511427120,Cyber Crime Silchar Assam
Odisha,Rourkela,Caste Discrimination,Childline - Rourkela 34,Childline,+91-8930886492,Caste Discrimination Rourkela Odisha
Haryana,Faridabad,Sexual Harassment,Cyber Helpline - Faridabad 18,Cyber Helpline,+91-8884051378,Sexual Harassment Faridabad Haryana
Rajasthan,Jaipur,Caste Discrimination,Childline - Jaipur 79,Childline,+91-9557103132,Caste Discrimination Jaipur Rajasthan
Kerala,Kochi,Child Abuse,District Legal Services Authority - Kochi 82,District Legal Services Authority,+91-9804915224,Child Abuse Kochi Kerala
Punjab,Amritsar,Sexual Harassment,Cyber Helpline - Amritsar 91,Cyber Helpline,+91-7987764882,Sexual Harassment Amritsar Punjab
Haryana,Gurgaon,Property Dispute,Cyber Helpline - Gurgaon 14,Cyber Helpline,+91-7608967918,Property Dispute Gurgaon Haryana
Maharashtra,Pune,Dowry,Cyber Helpline - Pune 9,Cyber Helpline,+91-9498599230,Dowry Pune Maharashtra
Chhattisgarh,Raipur,Senior Citizen Abuse,Cyber Helpline - Raipur 23,Cyber Helpline,+91-9373282211,Senior Citizen Abuse Raipur Chhattisgarh
Uttar Pradesh,Varanasi,Caste Discrimination,Legal Aid NGO - Varanasi 89,Legal Aid NGO,+91-9342394659,Caste Discrimination Varanasi Uttar Pradesh
Haryana,Faridabad,Child Abuse,Cyber Helpline - Faridabad 72,Cyber Helpline,+91-7073331936,Child Abuse Faridabad Haryana
Chhattisgarh,Bilaspur,Senior Citizen Abuse,Cyber Helpline - Bilaspur 35,Cyber Helpline,+91-8258188271,Senior Citizen Abuse Bilaspur Chhattisgarh
Punjab,Amritsar,Domestic Violence,Elder Help NGO - Amritsar 79,Elder Help NGO,+91-8836377850,Domestic Violence Amritsar Punjab
Madhya Pradesh,Jabalpur,Cyber Crime,Legal Clinic - Jabalpur 46,Legal Clinic,+91-9254061728,Cyber Crime Jabalpur Madhya Pradesh
West Bengal,Howrah,Cyber Crime,Cyber Helpline - Howrah 9,Cyber Helpline,+91-8022341604,Cyber Crime Howrah West Bengal
Uttar Pradesh,Varanasi,Property Dispute,Women's Helpline - Varanasi 30,Women's Helpline,+91-8824342832,Property Dispute Varanasi Uttar Pradesh
Maharashtra,Nagpur,Senior Citizen Abuse,Cyber Helpline - Nagpur 65,Cyber Helpline,+91-7920033364,Senior Citizen Abuse Nagpur Maharashtra
Andhra Pradesh,Guntur,Sexual Harassment,Cyber Helpline - Guntur 11,Cyber Helpline,+91-9804605548,Sexual Harassment Guntur Andhra Pradesh
Delhi,New Delhi,Child Abuse,Cyber Helpline - New Delhi 46,Cyber Helpline,+91-8076924805,Child Abuse New Delhi Delhi
Assam,Dibrugarh,Domestic Violence,Women's Helpline - Dibrugarh 25,Women's Helpline,+91-8819642268,Domestic Violence Dibrugarh Assam
Odisha,Rourkela,Property Dispute,Elder Help NGO - Rourkela 99,Elder Help NGO,+91-9424460194,Property Dispute Rourkela Odisha
Chhattisgarh,Bilaspur,Domestic Violence,Legal Aid NGO - Bilaspur 55,Legal Aid NGO,+91-9924978065,Domestic Violence Bilaspur Chhattisgarh
West Bengal,Siliguri,Senior Citizen Abuse,Elder Help NGO - Siliguri 87,Elder Help NGO,+91-8054017139,Senior Citizen Abuse Siliguri West Bengal
Jammu & Kashmir,Jammu,Domestic Violence,Cyber Helpline - Jammu 77,Cyber Helpline,+91-9851773990,Domestic Violence Jammu Jammu & Kashmir
Karnataka,Mysore,Domestic Violence,Legal Aid NGO - Mysore 24,Legal Aid NGO,+91-7504671781,Domestic Violence Mysore Karnataka
Gujarat,Vadodara,Senior Citizen Abuse,Legal Clinic - Vadodara 98,Legal Clinic,+91-8176168083,Senior Citizen Abuse Vadodara Gujarat
Andhra Pradesh,Vijayawada,Property Dispute,Elder Help NGO - Vijayawada 84,Elder Help NGO,+91-9726355809,Property Dispute Vijayawada Andhra Pradesh
West Bengal,Siliguri,Domestic Violence,Legal Aid NGO - Siliguri 33,Legal Aid NGO,+91-9906259586,Domestic Violence Siliguri West Bengal
Punjab,Chandigarh,Caste Discrimination,Cyber Helpline - Chandigarh 58,Cyber Helpline,+91-8434271250,Caste Discrimination Chandigarh Punjab
Bihar,Patna,Caste Discrimination,Legal Clinic - Patna 26,Legal Clinic,+91-7284831253,Caste Discrimination Patna Bihar
Punjab,Ludhiana,Sexual Harassment,District Legal Services Authority - Ludhiana 22,District Legal Services Authority,+91-8178021968,Sexual Harassment Ludhiana Punjab
Telangana,Hyderabad,Domestic Violence,Elder Help NGO - Hyderabad 22,Elder Help NGO,+91-9819100443,Domestic Violence Hyderabad Telangana
Haryana,Faridabad,Child Abuse,District Legal Services Authority - Faridabad 80,District Legal Services Authority,+91-9765555731,Child Abuse Faridabad Haryana
Andhra Pradesh,Vijayawada,Child Abuse,Women's Helpline - Vijayawada 53,Women's Helpline,+91-7902643847,Child Abuse Vijayawada Andhra Pradesh
Haryana,Gurgaon,Cyber Crime,District Legal Services Authority - Gurgaon 53,District Legal Services Authority,+91-9750491273,Cyber Crime Gurgaon Haryana
Chhattisgarh,Raipur,Caste Discrimination,Legal Aid NGO - Raipur 59,Legal Aid NGO,+91-9724398051,Caste Discrimination Raipur Chhattisgarh
Tamil Nadu,Madurai,Dowry,Legal Aid NGO - Madurai 87,Legal Aid NGO,+91-8246646883,Dowry Madurai Tamil Nadu
Kerala,Thiruvananthapuram,Dowry,Cyber Helpline - Thiruvananthapuram 60,Cyber Helpline,+91-7624258699,Dowry Thiruvananthapuram Kerala
Odisha,Cuttack,Domestic Violence,Elder Help NGO - Cuttack 45,Elder Help NGO,+91-8983954718,Domestic Violence Cuttack Odisha
Jharkhand,Ranchi,Child Abuse,District Legal Services Authority - Ranchi 37,District Legal Services Authority,+91-7858334643,Child Abuse Ranchi Jharkhand
Chhattisgarh,Durg,Sexual Harassment,Elder Help NGO - Durg 41,Elder Help NGO,+91-9764733469,Sexual Harassment Durg Chhattisgarh
Gujarat,Surat,Senior Citizen Abuse,Cyber Helpline - Surat 20,Cyber Helpline,+91-7731437782,Senior Citizen Abuse Surat Gujarat
Jharkhand,Ranchi,Property Dispute,District Legal Services Authority - Ranchi 93,District Legal Services Authority,+91-7858959285,Property Dispute Ranchi Jharkhand
Chhattisgarh,Raipur,Domestic Violence,Childline - Raipur 76,Childline,+91-8286356651,Domestic Violence Raipur Chhattisgarh
Telangana,Hyderabad,Domestic Violence,Childline - Hyderabad 94,Childline,+91-7260935653,Domestic Violence Hyderabad Telangana
Telangana,Nizamabad,Property Dispute,Cyber Helpline - Nizamabad 72,Cyber Helpline,+91-9050024226,Property Dispute Nizamabad Telangana
Jharkhand,Ranchi,Child Abuse,Women's Helpline - Ranchi 53,Women's Helpline,+91-7258040627,Child Abuse Ranchi Jharkhand
Telangana,Nizamabad,Caste Discrimination,Legal Aid NGO - Nizamabad 50,Legal Aid NGO,+91-7955818491,Caste Discrimination Nizamabad Telangana
Andhra Pradesh,Guntur,Property Dispute,Cyber Helpline - Guntur 7,Cyber Helpline,+91-9241415002,Property Dispute Guntur Andhra Pradesh
Maharashtra,Pune,Dowry,Childline - Pune 48,Childline,+91-7450113664,Dowry Pune Maharashtra
Andhra Pradesh,Visakhapatnam,Child Abuse,Legal Clinic - Visakhapatnam 31,Legal Clinic,+91-8559271291,Child Abuse Visakhapatnam Andhra Pradesh
Odisha,Cuttack,Child Abuse,Childline - Cuttack 67,Childline,+91-7064529162,Child Abuse Cuttack Odisha
Telangana,Nizamabad,Child Abuse,District Legal Services Authority - Nizamabad 70,District Legal Services Authority,+91-8182972593,Child Abuse Nizamabad Telangana
Bihar,Patna,Sexual Harassment,Childline - Patna 91,Childline,+91-7418319217,Sexual Harassment Patna Bihar
Haryana,Panipat,Cyber Crime,Women's Helpline - Panipat 70,Women's Helpline,+91-8224858536,Cyber Crime Panipat Haryana
Kerala,Thiruvananthapuram,Senior Citizen Abuse,Cyber Helpline - Thiruvananthapuram 14,Cyber Helpline,+91-8982118332,Senior Citizen Abuse Thiruvananthapuram Kerala
Maharashtra,Pune,Sexual Harassment,Childline - Pune 89,Childline,+91-8951751655,Sexual Harassment Pune Maharashtra
Andhra Pradesh,Visakhapatnam,Child Abuse,Legal Aid NGO - Visakhapatnam 81,Legal Aid NGO,+91-9340970538,Child Abuse Visakhapatnam Andhra Pradesh
Jharkhand,Jamshedpur,Property Dispute,District Legal Services Authority - Jamshedpur 16,District Legal Services Authority,+91-7862989743,Property Dispute Jamshedpur Jharkhand
Telangana,Nizamabad,Property Dispute,Legal Clinic - Nizamabad 67,Legal Clinic,+91-8667781054,Property Dispute Nizamabad Telangana
Gujarat,Surat,Cyber Crime,Women's Helpline - Surat 81,Women's Helpline,+91-7274053865,Cyber Crime Surat Gujarat
Rajasthan,Udaipur,Caste Discrimination,Elder Help NGO - Udaipur 16,Elder Help NGO,+91-8998779190,Caste Discrimination Udaipur Rajasthan
Odisha,Cuttack,Caste Discrimination,District Legal Services Authority - Cuttack 11,District Legal Services Authority,+91-9864947988,Caste Discrimination Cuttack Odisha
Uttar Pradesh,Varanasi,Dowry,Women's Helpline - Varanasi 81,Women's Helpline,+91-7997576387,Dowry Varanasi Uttar Pradesh
Bihar,Patna,Property Dispute,Legal Clinic - Patna 62,Legal Clinic,+91-7761877317,Property Dispute Patna Bihar
Madhya Pradesh,Bhopal,Senior Citizen Abuse,Women's Helpline - Bhopal 51,Women's Helpline,+91-7975948545,Senior Citizen Abuse Bhopal Madhya Pradesh
Telangana,Hyderabad,Child Abuse,Women's Helpline - Hyderabad 41,Women's Helpline,+91-7990687000,Child Abuse Hyderabad Telangana
Andhra Pradesh,Guntur,Dowry,Elder Help NGO - Guntur 96,Elder Help NGO,+91-9044437947,Dowry Guntur Andhra Pradesh
Chhattisgarh,Bilaspur,Domestic Violence,Legal Aid NGO - Bilaspur 62,Legal Aid NGO,+91-9647690711,Domestic Violence Bilaspur Chhattisgarh
Assam,Dibrugarh,Dowry,District Legal Services Authority - Dibrugarh 8,District Legal Services Authority,+91-9879494979,Dowry Dibrugarh Assam
Bihar,Gaya,Property Dispute,Legal Aid NGO - Gaya 55,Legal Aid NGO,+91-9805900112,Property Dispute Gaya Bihar
Assam,Silchar,Senior Citizen Abuse,Legal Clinic - Silchar 58,Legal Clinic,+91-8680398623,Senior Citizen Abuse Silchar Assam
Jharkhand,Jamshedpur,Property Dispute,Childline - Jamshedpur 1,Childline,+91-7179131027,Property Dispute Jamshedpur Jharkhand
Chhattisgarh,Bilaspur,Sexual Harassment,Legal Aid NGO - Bilaspur 82,Legal Aid NGO,+91-9781226213,Sexual Harassment Bilaspur Chhattisgarh
Delhi,New Delhi,Property Dispute,Elder Help NGO - New Delhi 39,Elder Help NGO,+91-8629118120,Property Dispute New Delhi Delhi
Odisha,Bhubaneswar,Property Dispute,Elder Help NGO - Bhubaneswar 51,Elder Help NGO,+91-7595924079,Property Dispute Bhubaneswar Odisha
Kerala,Thiruvananthapuram,Sexual Harassment,Elder Help NGO - Thiruvananthapuram 18,Elder Help NGO,+91-7309862670,Sexual Harassment Thiruvananthapuram Kerala
Kerala,Kozhikode,Dowry,Childline - Kozhikode 40,Childline,+91-8317543923,Dowry Kozhikode Kerala
Andhra Pradesh,Vijayawada,Sexual Harassment,Women's Helpline - Vijayawada 39,Women's Helpline,+91-9687077653,Sexual Harassment Vijayawada Andhra Pradesh
Odisha,Bhubaneswar,Cyber Crime,Cyber Helpline - Bhubaneswar 30,Cyber Helpline,+91-8382865673,Cyber Crime Bhubaneswar Odisha
Tamil Nadu,Coimbatore,Child Abuse,Legal Clinic - Coimbatore 37,Legal Clinic,+91-8611302750,Child Abuse Coimbatore Tamil Nadu
West Bengal,Kolkata,Property Dispute,Legal Clinic - Kolkata 83,Legal Clinic,+91-9711974279,Property Dispute Kolkata West Bengal
